timestamp,epoch_seconds,power_draw_w,power_limit_w,gpu_utilization,memory_used_mb,temperature_gpu
2026-07-15T13:14:06.347120,338.345,9.08,0.0,94.0,0.0,40.0
2026-07-15T13:14:06.918177,338.916,9.07,0.0,94.0,0.0,40.0
2026-07-15T13:14:07.489061,339.487,9.07,0.0,94.0,0.0,40.0
2026-07-15T13:14:08.059705,340.058,9.07,0.0,94.0,0.0,40.0
2026-07-15T13:14:08.629229,340.627,9.07,0.0,94.0,0.0,40.0
2026-07-15T13:14:09.254381,341.252,9.03,0.0,92.0,0.0,40.0
2026-07-15T13:14:09.826877,341.825,8.99,0.0,92.0,0.0,40.0
2026-07-15T13:14:10.444295,342.442,9.01,0.0,94.0,0.0,40.0
2026-07-15T13:14:11.017913,343.016,9.05,0.0,94.0,0.0,40.0
2026-07-15T13:14:11.587296,343.585,9.08,0.0,93.0,0.0,40.0
2026-07-15T13:14:12.176431,344.174,9.07,0.0,94.0,0.0,40.0
2026-07-15T13:14:12.744033,344.742,9.05,0.0,94.0,0.0,40.0
2026-07-15T13:14:13.340107,345.338,9.06,0.0,94.0,0.0,40.0
2026-07-15T13:14:13.909382,345.907,9.09,0.0,93.0,0.0,40.0
2026-07-15T13:14:14.485618,346.484,9.08,0.0,94.0,0.0,40.0
2026-07-15T13:14:15.056248,347.054,9.07,0.0,94.0,0.0,40.0
2026-07-15T13:14:15.626279,347.624,9.03,0.0,94.0,0.0,40.0
2026-07-15T13:14:16.198861,348.197,9.07,0.0,94.0,0.0,41.0
2026-07-15T13:14:16.770316,348.768,9.08,0.0,94.0,0.0,40.0
2026-07-15T13:14:17.344034,349.342,9.08,0.0,94.0,0.0,41.0
2026-07-15T13:14:17.914755,349.913,9.08,0.0,94.0,0.0,41.0
2026-07-15T13:14:18.489987,350.488,9.09,0.0,94.0,0.0,41.0
2026-07-15T13:14:19.056811,351.055,9.09,0.0,93.0,0.0,41.0
2026-07-15T13:14:19.632862,351.631,9.07,0.0,94.0,0.0,41.0
